,ECG_P_Peaks,ECG_Q_Peaks,ECG_S_Peaks,ECG_T_Peaks,ECG_P_Onsets,ECG_T_Offsets
0,190,210,222,245,186,271
1,397,415,428,453,390,480
2,603,623,636,656,598,676
3,816,833,845,901,809,901
4,1023,1043,1055,1111,1019,1115
5,1237,1257,1269,1293,1234,1320
6,1377,1408,1422,1478,1372,1484
7,1443,1472,1484,1510,1431,1519
8,1668,1687,1700,1755,1665,1759
9,1755,1762,1781,1802,1740,1837
10,1881,1899,1914,1966,1878,1972
11,1929,1963,1977,1979,1921,2005
12,2072,2110,2127,2142,2071,2175
13,2170,2186,2207,2231,2161,2243
14,2231,2262,2272,2330,2229,2333
15,2305,2324,2337,2366,2300,2376
16,2520,2540,2552,2575,2517,2581
17,2665,2677,2683,2731,2663,2741
18,2731,2752,2765,2820,2726,2824
19,2945,2962,2975,3001,2936,3028
20,3156,3176,3188,3212,3154,3232
21,3371,3390,3403,3459,3364,3462
22,3575,3605,3617,3645,3567,3650
23,3798,3816,3829,3855,3794,3881
24,3883,3909,3913,3925,3868,3937
25,4010,4030,4043,4065,4007,4092
26,4224,4244,4256,4289,4218,4301
27,4435,4455,4467,4486,4429,4498
28,4648,4668,4681,4700,4645,4722
29,4863,4883,4895,4919,4857,4932
30,5078,5098,5110,5165,5073,5170
31,5291,5310,5323,5339,5283,5352
32,5507,5527,5540,5563,5504,5589
33,5726,5746,5757,5773,5723,5800
34,5857,5882,5890,5941,5855,5948
35,5941,5961,5974,5997,5935,6005
36,6158,6178,6190,6221,6155,6234
